Transaction Key;Transaction ID;Customer ID;Location;Payment Method;Category;Item;Quantity;Unit Price;Unit_Cost;Discount_Rate;Total_Recalc;Gross_Profit_After_Discount;Gross_Margin_%;Customer Age;Tenure (Years);Price_vs_Cost_Flag;Pre_Discount_Total;Discount_Zero_Flag;Total Spent;Date;Future_Date_Flag;Pre_Recalc;Gross_Profit;Year;Month;Week;Membership Level;Region;Province/State;Log_Total_Recalc;Month_Year;;
TXN_152398_20250527;TXN_152398;CUST_0531;In-store;Cash;Beverages;Energy Drink;14;2,99;1,59;0,000;41,86;19,60;0,47;45;2,9;OK;41,86;No Discount;41,86;27/5/25;OK;41,86;19,60;2025;05;22;Standard;Northeast;MA;1,62;May-2025;;
TXN_449575_20230414;TXN_449575;CUST_0156;Online;Credit Card;Beverages;Soft Drink;20;2,20;1,69;0,000;44,00;10,20;0,23;37;3,8;OK;44,00;No Discount;44,00;14/4/23;OK;44,00;10,20;2023;04;15;Standard;Northeast;DC;1,64;Apr-2023;;
TXN_480308_20240910;TXN_480308;CUST_0849;In-store;Digital Wallet;Beverages;Coffee Beans;17;2,65;2,36;0,000;45,05;4,93;0,11;39;5,8;OK;45,05;No Discount;45,05;10/9/24;OK;45,05;4,93;2024;09;37;Gold;Northeast;PA;1,65;Sep-2024;;
TXN_530167_20240805;TXN_530167;CUST_0668;In-store;Cash;Beverages;Bottled Water;14;1,05;0,68;0,000;14,70;5,18;0,35;62;9,5;OK;14,70;No Discount;14,70;5/8/24;OK;14,70;5,18;2024;08;32;Standard;South;TX;1,17;Aug-2024;;
TXN_782613_20231012;TXN_782613;CUST_0147;In-store;Credit Card;Beverages;Energy Drink;35;2,99;1,85;0,060;98,37;33,62;0,34;55;1,3;OK;104,65;Discounted;98,37;12/10/23;OK;104,65;39,90;2023;10;41;Platinum;South;NC;1,99;Oct-2023;;
TXN_728503_20230910;TXN_728503;CUST_0485;In-store;Cash;Beverages;Bottled Water;15;1,05;0,56;0,000;15,75;7,35;0,47;42;3,5;OK;15,75;No Discount;15,75;10/9/23;OK;15,75;7,35;2023;09;37;Standard;West;CA;1,20;Sep-2023;;
TXN_310572_20240926;TXN_310572;CUST_0599;Online;Credit Card;Beverages;Tea Pack;27;2,86;1,69;0,000;77,22;31,59;0,41;35;3,8;OK;77,22;No Discount;77,22;26/9/24;OK;77,22;31,59;2024;09;39;Platinum;South;TX;1,89;Sep-2024;;
TXN_440592_20250118;TXN_440592;CUST_0020;Online;Digital Wallet;Beverages;Bottled Water;25;1,05;0,64;0,000;26,25;10,25;0,39;34;1,5;OK;26,25;No Discount;26,25;18/1/25;OK;26,25;10,25;2025;01;3;Standard;South;TX;1,42;Jan-2025;;
TXN_294446_20230428;TXN_294446;CUST_0269;In-store;Digital Wallet;Beverages;Soft Drink;15;2,20;1,40;0,000;33,00;12,00;0,36;59;5,8;OK;33,00;No Discount;33,00;28/4/23;OK;33,00;12,00;2023;04;17;Standard;Northeast;MD;1,52;Apr-2023;;
TXN_490392_20240306;TXN_490392;CUST_0333;In-store;Credit Card;Beverages;Bottled Water;47;1,05;0,79;0,000;49,35;12,22;0,25;24;9,7;OK;49,35;No Discount;49,35;6/3/24;OK;49,35;12,22;2024;03;10;Standard;Northeast;NY;1,69;Mar-2024;;
TXN_622605_20230628;TXN_622605;CUST_0555;Online;Credit Card;Beverages;Bottled Water;42;1,05;0,57;0,000;44,10;20,16;0,46;32;9,6;OK;44,10;No Discount;44,10;28/6/23;OK;44,10;20,16;2023;06;26;Platinum;South;TX;1,64;Jun-2023;;
TXN_203512_20240822;TXN_203512;CUST_0907;Online;Credit Card;Beverages;Bottled Water;17;1,05;0,55;0,000;17,85;8,50;0,48;38;2,3;OK;17,85;No Discount;17,85;22/8/24;OK;17,85;8,50;2024;08;34;Gold;Midwest;IL;1,25;Aug-2024;;
TXN_796306_20230612;TXN_796306;CUST_0944;In-store;Cash;Beverages;Coffee Beans;7;2,65;2,31;0,000;18,55;2,38;0,13;61;7,4;OK;18,55;No Discount;18,55;12/6/23;OK;18,55;2,38;2023;06;24;Standard;Northeast;NY;1,27;Jun-2023;;
TXN_176652_20230724;TXN_176652;CUST_0911;Online;Digital Wallet;Beverages;Coffee Beans;18;2,65;2,17;0,000;47,70;8,64;0,18;62;4,7;OK;47,70;No Discount;47,70;24/7/23;OK;47,70;8,64;2023;07;30;Standard;Northeast;NY;1,68;Jul-2023;;
TXN_529876_20241028;TXN_529876;CUST_0401;Online;Credit Card;Beverages;Tea Pack;10;2,86;1,75;0,000;28,60;11,10;0,39;27;8,5;OK;28,60;No Discount;28,60;28/10/24;OK;28,60;11,10;2024;10;44;Standard;South;TX;1,46;Oct-2024;;
TXN_414075_20231001;TXN_414075;CUST_0950;In-store;Cash;Beverages;Soft Drink;19;2,20;1,66;0,000;41,80;10,26;0,25;38;6,4;OK;41,80;No Discount;41,80;1/10/23;OK;41,80;10,26;2023;10;40;Platinum;West;CA;1,62;Oct-2023;;
TXN_211590_20240607;TXN_211590;CUST_0306;In-store;Cash;Beverages;Bottled Water;5;1,05;0,77;0,000;5,25;1,40;0,27;64;9,3;OK;5,25;No Discount;5,25;7/6/24;OK;5,25;1,40;2024;06;23;Standard;Eastern Canada;QC;0,72;Jun-2024;;
TXN_565351_20240112;TXN_565351;CUST_0028;Online;Credit Card;Beverages;Bottled Water;40;1,05;0,84;0,000;42,00;8,40;0,20;42;1,6;OK;42,00;No Discount;42,00;12/1/24;OK;42,00;8,40;2024;01;2;Platinum;Western Canada;MB;1,62;Jan-2024;;
TXN_356414_20241107;TXN_356414;CUST_0467;In-store;Digital Wallet;Beverages;Bottled Water;33;1,05;0,89;0,000;34,65;5,28;0,15;41;9,2;OK;34,65;No Discount;34,65;7/11/24;OK;34,65;5,28;2024;11;45;Standard;South;NC;1,54;Nov-2024;;
TXN_108646_20230909;TXN_108646;CUST_0260;Online;Credit Card;Beverages;Bottled Water;62;1,05;0,68;0,000;65,10;22,94;0,35;56;0,9;OK;65,10;No Discount;65,10;9/9/23;OK;65,10;22,94;2023;09;36;Platinum;Midwest;IL;1,81;Sep-2023;;
TXN_414930_20240620;TXN_414930;CUST_0534;Online;Credit Card;Beverages;Coffee Beans;7;2,65;2,03;0,000;18,55;4,34;0,23;63;8,8;OK;18,55;No Discount;18,55;20/6/24;OK;18,55;4,34;2024;06;25;Standard;West;CA;1,27;Jun-2024;;
TXN_516254_20250815;TXN_516254;CUST_0982;Online;Credit Card;Beverages;Tea Pack;16;2,86;2,35;0,000;45,76;8,16;0,18;51;5,0;OK;45,76;No Discount;45,76;15/8/25;OK;45,76;8,16;2025;08;33;Standard;South;TX;1,66;Aug-2025;;
TXN_906062_20240123;TXN_906062;CUST_0887;In-store;Cash;Beverages;Energy Drink;24;2,99;2,33;0,000;71,76;15,84;0,22;39;9,3;OK;71,76;No Discount;71,76;23/1/24;OK;71,76;15,84;2024;01;4;Gold;West;CA;1,86;Jan-2024;;
TXN_834118_20250412;TXN_834118;CUST_0101;In-store;Credit Card;Beverages;Soft Drink;25;2,20;1,91;0,000;55,00;7,25;0,13;48;9,6;OK;55,00;No Discount;55,00;12/4/25;OK;55,00;7,25;2025;04;15;Standard;South;OK;1,74;Apr-2025;;
TXN_890736_20230813;TXN_890736;CUST_0551;In-store;Digital Wallet;Beverages;Bottled Water;6;1,05;0,73;0,000;6,30;1,92;0,30;66;1,9;OK;6,30;No Discount;6,30;13/8/23;OK;6,30;1,92;2023;08;33;Gold;Midwest;MI;0,80;Aug-2023;;
TXN_619480_20240822;TXN_619480;CUST_0802;Online;Digital Wallet;Beverages;Tea Pack;12;2,86;2,35;0,000;34,32;6,12;0,18;64;4,4;OK;34,32;No Discount;34,32;22/8/24;OK;34,32;6,12;2024;08;34;Gold;Eastern Canada;QC;1,54;Aug-2024;;
TXN_460369_20240804;TXN_460369;CUST_0353;Online;Credit Card;Beverages;Energy Drink;20;2,99;2,58;0,000;59,80;8,20;0,14;26;9,0;OK;59,80;No Discount;59,80;4/8/24;OK;59,80;8,20;2024;08;32;Standard;South;TX;1,78;Aug-2024;;
TXN_618514_20241010;TXN_618514;CUST_0300;Online;Credit Card;Beverages;Tea Pack;111;2,86;2,07;0,041;304,44;74,67;0,25;40;1,5;OK;317,46;Discounted;304,44;10/10/24;OK;317,46;87,69;2024;10;41;Platinum;South;TX;2,48;Oct-2024;;
TXN_859096_20231228;TXN_859096;CUST_0682;In-store;Credit Card;Beverages;Coffee Beans;22;2,65;1,34;0,000;58,30;28,82;0,49;30;4,9;OK;58,30;No Discount;58,30;28/12/23;OK;58,30;28,82;2023;12;52;Standard;South;FL;1,77;Dec-2023;;
TXN_594370_20240624;TXN_594370;CUST_0296;Online;Credit Card;Beverages;Energy Drink;5;2,99;2,47;0,000;14,95;2,60;0,17;20;6,7;OK;14,95;No Discount;14,95;24/6/24;OK;14,95;2,60;2024;06;26;Standard;South;TX;1,17;Jun-2024;;
TXN_646295_20231003;TXN_646295;CUST_0353;Online;Credit Card;Beverages;Tea Pack;15;2,86;2,40;0,000;42,90;6,90;0,16;26;9,0;OK;42,90;No Discount;42,90;3/10/23;OK;42,90;6,90;2023;10;40;Standard;South;TX;1,63;Oct-2023;;
TXN_741109_20230124;TXN_741109;CUST_0908;In-store;Cash;Beverages;Coffee Beans;13;2,65;1,75;0,000;34,45;11,70;0,34;57;6,2;OK;34,45;No Discount;34,45;24/1/23;OK;34,45;11,70;2023;01;4;Standard;Northeast;MD;1,54;Jan-2023;;
TXN_487892_20230805;TXN_487892;CUST_0130;In-store;Credit Card;Beverages;Tea Pack;18;2,86;1,69;0,000;51,48;21,06;0,41;38;5,7;OK;51,48;No Discount;51,48;5/8/23;OK;51,48;21,06;2023;08;31;Standard;West;CO;1,71;Aug-2023;;
TXN_996265_20241204;TXN_996265;CUST_0156;Online;Credit Card;Beverages;Tea Pack;34;2,86;2,55;0,000;97,24;10,54;0,11;37;3,8;OK;97,24;No Discount;97,24;4/12/24;OK;97,24;10,54;2024;12;49;Standard;Northeast;DC;1,99;Dec-2024;;
TXN_940923_20250519;TXN_940923;CUST_0074;Online;Credit Card;Beverages;Energy Drink;9;2,99;2,15;0,000;26,91;7,56;0,28;54;0,2;OK;26,91;No Discount;26,91;19/5/25;OK;26,91;7,56;2025;05;21;Standard;Northeast;PA;1,43;May-2025;;
TXN_507846_20230915;TXN_507846;CUST_0342;Online;Credit Card;Beverages;Coffee Beans;17;2,65;1,87;0,000;45,05;13,26;0,29;45;4,3;OK;45,05;No Discount;45,05;15/9/23;OK;45,05;13,26;2023;09;37;Standard;Northeast;PA;1,65;Sep-2023;;
TXN_134489_20240528;TXN_134489;CUST_0465;In-store;Credit Card;Beverages;Bottled Water;15;1,05;0,92;0,000;15,75;1,95;0,12;25;10,0;OK;15,75;No Discount;15,75;28/5/24;OK;15,75;1,95;2024;05;22;Standard;South;NC;1,20;May-2024;;
TXN_577162_20230426;TXN_577162;CUST_0090;In-store;Credit Card;Beverages;Soft Drink;19;2,20;1,46;0,000;41,80;14,06;0,34;62;8,2;OK;41,80;No Discount;41,80;26/4/23;OK;41,80;14,06;2023;04;17;Standard;Midwest;OH;1,62;Apr-2023;;
TXN_417945_20230623;TXN_417945;CUST_0579;Online;Credit Card;Beverages;Energy Drink;103;2,99;2,51;0,045;294,11;35,58;0,12;48;7,4;OK;307,97;Discounted;294,11;23/6/23;OK;307,97;49,44;2023;06;25;Standard;Northeast;MA;2,47;Jun-2023;;
TXN_671356_20230907;TXN_671356;CUST_0455;Online;Credit Card;Beverages;Coffee Beans;31;2,65;2,07;0,000;82,15;17,98;0,22;36;2,0;OK;82,15;No Discount;82,15;7/9/23;OK;82,15;17,98;2023;09;36;Standard;South;FL;1,91;Sep-2023;;
TXN_215874_20250522;TXN_215874;CUST_0748;Online;Credit Card;Beverages;Tea Pack;6;2,86;2,54;0,000;17,16;1,92;0,11;29;3,9;OK;17,16;No Discount;17,16;22/5/25;OK;17,16;1,92;2025;05;21;Gold;South;NC;1,23;May-2025;;
TXN_903966_20241003;TXN_903966;CUST_0712;Online;Credit Card;Beverages;Coffee Beans;8;2,65;1,78;0,000;21,20;6,96;0,33;21;4,8;OK;21,20;No Discount;21,20;3/10/24;OK;21,20;6,96;2024;10;40;Standard;West;CA;1,33;Oct-2024;;
TXN_881114_20230925;TXN_881114;CUST_0980;In-store;Credit Card;Beverages;Soft Drink;14;2,20;1,90;0,000;30,80;4,20;0,14;23;7,0;OK;30,80;No Discount;30,80;25/9/23;OK;30,80;4,20;2023;09;39;Standard;South;NC;1,49;Sep-2023;;
TXN_808724_20230927;TXN_808724;CUST_0332;Online;Credit Card;Beverages;Soft Drink;12;2,20;1,60;0,000;26,40;7,20;0,27;25;6,9;OK;26,40;No Discount;26,40;27/9/23;OK;26,40;7,20;2023;09;39;Standard;Northeast;NY;1,42;Sep-2023;;
TXN_789557_20250516;TXN_789557;CUST_0739;In-store;Cash;Beverages;Bottled Water;26;1,05;0,72;0,000;27,30;8,58;0,31;45;5,7;OK;27,30;No Discount;27,30;16/5/25;OK;27,30;8,58;2025;05;20;Standard;South;TX;1,44;May-2025;;
TXN_821544_20230815;TXN_821544;CUST_0977;In-store;Credit Card;Beverages;Bottled Water;19;1,05;0,65;0,000;19,95;7,60;0,38;35;6,0;OK;19,95;No Discount;19,95;15/8/23;OK;19,95;7,60;2023;08;33;Standard;South;TX;1,30;Aug-2023;;
TXN_419231_20231218;TXN_419231;CUST_0348;In-store;Cash;Beverages;Soft Drink;8;2,20;1,59;0,000;17,60;4,88;0,28;23;2,0;OK;17,60;No Discount;17,60;18/12/23;OK;17,60;4,88;2023;12;51;Standard;Eastern Canada;ON;1,25;Dec-2023;;
TXN_657411_20241003;TXN_657411;CUST_0233;Online;Credit Card;Beverages;Energy Drink;22;2,99;2,18;0,000;65,78;17,82;0,27;24;7,4;OK;65,78;No Discount;65,78;3/10/24;OK;65,78;17,82;2024;10;40;Platinum;West;CO;1,82;Oct-2024;;
TXN_889255_20240814;TXN_889255;CUST_0778;Online;Credit Card;Beverages;Energy Drink;16;2,99;2,57;0,000;47,84;6,72;0,14;43;3,0;OK;47,84;No Discount;47,84;14/8/24;OK;47,84;6,72;2024;08;33;Gold;South;GA;1,68;Aug-2024;;
TXN_239229_20240601;TXN_239229;CUST_0598;In-store;Cash;Beverages;Tea Pack;20;2,86;2,24;0,000;57,20;12,40;0,22;51;9,8;OK;57,20;No Discount;57,20;1/6/24;OK;57,20;12,40;2024;06;22;Standard;Midwest;IL;1,76;Jun-2024;;
TXN_350878_20231007;TXN_350878;CUST_0102;In-store;Cash;Beverages;Bottled Water;51;1,05;0,87;0,000;53,55;9,18;0,17;40;5,4;OK;53,55;No Discount;53,55;7/10/23;OK;53,55;9,18;2023;10;40;Standard;West;OR;1,73;Oct-2023;;
TXN_902013_20250802;TXN_902013;CUST_0953;Online;Credit Card;Beverages;Tea Pack;13;2,86;2,31;0,000;37,18;7,15;0,19;57;3,8;OK;37,18;No Discount;37,18;2/8/25;OK;37,18;7,15;2025;08;31;Platinum;West;CA;1,57;Aug-2025;;
TXN_467991_20230810;TXN_467991;CUST_0481;In-store;Cash;Beverages;Bottled Water;23;1,05;0,64;0,000;24,15;9,43;0,39;37;9,3;OK;24,15;No Discount;24,15;10/8/23;OK;24,15;9,43;2023;08;32;Standard;South;TN;1,38;Aug-2023;;
TXN_783321_20230824;TXN_783321;CUST_0214;Online;Credit Card;Beverages;Soft Drink;54;2,20;1,28;0,046;113,34;44,22;0,39;44;1,3;OK;118,80;Discounted;113,34;24/8/23;OK;118,80;49,68;2023;08;34;Gold;South;TX;2,05;Aug-2023;;
TXN_488990_20230825;TXN_488990;CUST_0108;In-store;Cash;Beverages;Energy Drink;12;2,99;1,80;0,000;35,88;14,28;0,40;69;0,6;OK;35,88;No Discount;35,88;25/8/23;OK;35,88;14,28;2023;08;34;Gold;Western Canada;BC;1,55;Aug-2023;;
TXN_865790_20250416;TXN_865790;CUST_0165;In-store;Cash;Beverages;Energy Drink;23;2,99;1,67;0,000;68,77;30,36;0,44;23;0,2;OK;68,77;No Discount;68,77;16/4/25;OK;68,77;30,36;2025;04;16;Standard;West;CA;1,84;Apr-2025;;
TXN_793397_20230712;TXN_793397;CUST_0973;In-store;Credit Card;Beverages;Soft Drink;6;2,20;1,44;0,000;13,20;4,56;0,35;70;0,6;OK;13,20;No Discount;13,20;12/7/23;OK;13,20;4,56;2023;07;28;Gold;Midwest;MI;1,12;Jul-2023;;
TXN_778123_20240927;TXN_778123;CUST_0603;In-store;Credit Card;Beverages;Tea Pack;27;2,86;2,18;0,000;77,22;18,36;0,24;49;1,9;OK;77,22;No Discount;77,22;27/9/24;OK;77,22;18,36;2024;09;39;Gold;Midwest;IN;1,89;Sep-2024;;
TXN_944967_20250818;TXN_944967;CUST_0704;In-store;Cash;Beverages;Tea Pack;17;2,86;2,04;0,000;48,62;13,94;0,29;31;3,6;OK;48,62;No Discount;48,62;18/8/25;OK;48,62;13,94;2025;08;34;Standard;South;TX;1,69;Aug-2025;;
TXN_646286_20240606;TXN_646286;CUST_0335;In-store;Credit Card;Beverages;Coffee Beans;6;2,65;2,04;0,000;15,90;3,66;0,23;68;1,3;OK;15,90;No Discount;15,90;6/6/24;OK;15,90;3,66;2024;06;23;Standard;South;TX;1,20;Jun-2024;;
TXN_881723_20250127;TXN_881723;CUST_0086;In-store;Digital Wallet;Beverages;Bottled Water;14;1,05;0,67;0,000;14,70;5,32;0,36;27;3,8;OK;14,70;No Discount;14,70;27/1/25;OK;14,70;5,32;2025;01;5;Platinum;South;TX;1,17;Jan-2025;;
TXN_631373_20250717;TXN_631373;CUST_0734;In-store;Digital Wallet;Beverages;Tea Pack;11;2,86;1,66;0,000;31,46;13,20;0,42;46;7,3;OK;31,46;No Discount;31,46;17/7/25;OK;31,46;13,20;2025;07;29;Standard;West;CA;1,50;Jul-2025;;
TXN_423652_20230708;TXN_423652;CUST_0875;Online;Credit Card;Beverages;Soft Drink;32;2,20;1,28;0,000;70,40;29,44;0,42;45;2,5;OK;70,40;No Discount;70,40;8/7/23;OK;70,40;29,44;2023;07;27;Standard;West;CA;1,85;Jul-2023;;
TXN_540016_20250121;TXN_540016;CUST_0424;In-store;Credit Card;Beverages;Tea Pack;25;2,86;2,12;0,000;71,50;18,50;0,26;48;0,5;OK;71,50;No Discount;71,50;21/1/25;OK;71,50;18,50;2025;01;4;Standard;Northeast;MD;1,85;Jan-2025;;
TXN_182186_20250709;TXN_182186;CUST_0613;In-store;Cash;Beverages;Energy Drink;16;2,99;1,69;0,000;47,84;20,80;0,43;66;6,4;OK;47,84;No Discount;47,84;9/7/25;OK;47,84;20,80;2025;07;28;Standard;South;TN;1,68;Jul-2025;;
TXN_959285_20241219;TXN_959285;CUST_0738;Online;Credit Card;Beverages;Bottled Water;108;1,05;0,69;0,042;108,64;34,12;0,31;51;9,8;OK;113,40;Discounted;108,64;19/12/24;OK;113,40;38,88;2024;12;51;Standard;South;TX;2,04;Dec-2024;;
TXN_457166_20250602;TXN_457166;CUST_0364;Online;Credit Card;Beverages;Coffee Beans;42;2,65;1,55;0,061;104,51;39,41;0,38;39;8,1;OK;111,30;Discounted;104,51;2/6/25;OK;111,30;46,20;2025;06;23;Platinum;Northeast;MA;2,02;Jun-2025;;
TXN_249336_20250207;TXN_249336;CUST_0060;In-store;Cash;Beverages;Bottled Water;53;1,05;0,80;0,000;55,65;13,25;0,24;59;1,2;OK;55,65;No Discount;55,65;7/2/25;OK;55,65;13,25;2025;02;6;Platinum;South;TN;1,75;Feb-2025;;
TXN_969900_20240911;TXN_969900;CUST_0482;Online;Credit Card;Beverages;Energy Drink;10;2,99;2,23;0,000;29,90;7,60;0,25;68;4,3;OK;29,90;No Discount;29,90;11/9/24;OK;29,90;7,60;2024;09;37;Gold;Northeast;MA;1,48;Sep-2024;;
TXN_395293_20230823;TXN_395293;CUST_0250;Online;Credit Card;Beverages;Energy Drink;16;2,99;1,95;0,000;47,84;16,64;0,35;22;2,9;OK;47,84;No Discount;47,84;23/8/23;OK;47,84;16,64;2023;08;34;Standard;West;CA;1,68;Aug-2023;;
TXN_789763_20240913;TXN_789763;CUST_0560;Online;Credit Card;Beverages;Energy Drink;22;2,99;1,65;0,000;65,78;29,48;0,45;40;0,1;OK;65,78;No Discount;65,78;13/9/24;OK;65,78;29,48;2024;09;37;Gold;South;NC;1,82;Sep-2024;;
TXN_292885_20230610;TXN_292885;CUST_0117;In-store;Cash;Beverages;Energy Drink;12;2,99;1,75;0,000;35,88;14,88;0,41;70;1,8;OK;35,88;No Discount;35,88;10/6/23;OK;35,88;14,88;2023;06;23;Standard;West;AZ;1,55;Jun-2023;;
TXN_866457_20230915;TXN_866457;CUST_0739;Online;Credit Card;Beverages;Soft Drink;10;2,20;1,52;0,000;22,00;6,80;0,31;45;5,7;OK;22,00;No Discount;22,00;15/9/23;OK;22,00;6,80;2023;09;37;Standard;South;TX;1,34;Sep-2023;;
TXN_634764_20230621;TXN_634764;CUST_0874;In-store;Cash;Beverages;Coffee Beans;23;2,65;2,36;0,000;60,95;6,67;0,11;48;5,5;OK;60,95;No Discount;60,95;21/6/23;OK;60,95;6,67;2023;06;25;Standard;Midwest;OH;1,78;Jun-2023;;
TXN_537834_20250807;TXN_537834;CUST_0915;In-store;Cash;Beverages;Energy Drink;49;2,99;1,82;0,061;137,57;48,39;0,35;47;1,3;OK;146,51;Discounted;137,57;7/8/25;OK;146,51;57,33;2025;08;32;Platinum;Midwest;MI;2,14;Aug-2025;;
TXN_946148_20240728;TXN_946148;CUST_0968;Online;Digital Wallet;Beverages;Energy Drink;15;2,99;1,72;0,000;44,85;19,05;0,42;45;3,0;OK;44,85;No Discount;44,85;28/7/24;OK;44,85;19,05;2024;07;31;Gold;West;CA;1,65;Jul-2024;;
TXN_820760_20230506;TXN_820760;CUST_0999;In-store;Credit Card;Beverages;Tea Pack;51;2,86;1,68;0,035;140,75;55,07;0,39;38;9,7;OK;145,86;Discounted;140,75;6/5/23;OK;145,86;60,18;2023;05;18;Standard;West;CO;2,15;May-2023;;
TXN_561389_20230425;TXN_561389;CUST_0545;Online;Digital Wallet;Beverages;Coffee Beans;24;2,65;2,08;0,000;63,60;13,68;0,22;45;7,8;OK;63,60;No Discount;63,60;25/4/23;OK;63,60;13,68;2023;04;17;Platinum;Midwest;IL;1,80;Apr-2023;;
TXN_147893_20230812;TXN_147893;CUST_0044;In-store;Credit Card;Beverages;Bottled Water;19;1,05;0,91;0,000;19,95;2,66;0,13;49;1,4;OK;19,95;No Discount;19,95;12/8/23;OK;19,95;2,66;2023;08;32;Standard;Western Canada;MB;1,30;Aug-2023;;
TXN_892002_20240603;TXN_892002;CUST_0509;In-store;Cash;Beverages;Coffee Beans;16;2,65;1,40;0,000;42,40;20,00;0,47;67;9,9;OK;42,40;No Discount;42,40;3/6/24;OK;42,40;20,00;2024;06;23;Platinum;Eastern Canada;ON;1,63;Jun-2024;;
TXN_663106_20240816;TXN_663106;CUST_0988;Online;Credit Card;Beverages;Coffee Beans;22;2,65;2,12;0,000;58,30;11,66;0,20;60;9,8;OK;58,30;No Discount;58,30;16/8/24;OK;58,30;11,66;2024;08;33;Platinum;South;TX;1,77;Aug-2024;;
TXN_216639_20240820;TXN_216639;CUST_0165;In-store;Credit Card;Beverages;Coffee Beans;21;2,65;1,85;0,000;55,65;16,80;0,30;23;0,2;OK;55,65;No Discount;55,65;20/8/24;OK;55,65;16,80;2024;08;34;Standard;West;CA;1,75;Aug-2024;;
TXN_388165_20241209;TXN_388165;CUST_0368;Online;Credit Card;Beverages;Energy Drink;9;2,99;2,48;0,000;26,91;4,59;0,17;67;8,6;OK;26,91;No Discount;26,91;9/12/24;OK;26,91;4,59;2024;12;50;Standard;South;NC;1,43;Dec-2024;;
TXN_777689_20230410;TXN_777689;CUST_0857;Online;Credit Card;Beverages;Energy Drink;23;2,99;2,00;0,000;68,77;22,77;0,33;41;9,7;OK;68,77;No Discount;68,77;10/4/23;OK;68,77;22,77;2023;04;15;Platinum;South;TX;1,84;Apr-2023;;
TXN_788039_20230713;TXN_788039;CUST_0292;Online;Digital Wallet;Beverages;Soft Drink;27;2,20;1,10;0,000;59,40;29,70;0,50;41;4,0;OK;59,40;No Discount;59,40;13/7/23;OK;59,40;29,70;2023;07;28;Gold;South;GA;1,77;Jul-2023;;
